"","Package","LibPath","Version","Priority","Built"
"99","KernSmooth","C:/Program Files/R/R-3.5.1/library","2.23-15","recommended","3.5.1"
"100","knitr","C:/Program Files/R/R-3.5.1/library","1.21",NA,"3.5.2"
"101","labeling","C:/Program Files/R/R-3.5.1/library","0.3",NA,"3.5.0"
"102","later","C:/Program Files/R/R-3.5.1/library","0.7.5",NA,"3.5.2"
"103","lattice","C:/Program Files/R/R-3.5.1/library","0.20-38","recommended","3.5.2"
"104","lazyeval","C:/Program Files/R/R-3.5.1/library","0.2.1",NA,"3.5.1"
"105","leaps","C:/Program Files/R/R-3.5.1/library","3.0",NA,"3.5.1"
"106","listviewer","C:/Program Files/R/R-3.5.1/library","2.1.0",NA,"3.5.1"
"107","lme4","C:/Program Files/R/R-3.5.1/library","1.1-19",NA,"3.5.1"
"108","lmtest","C:/Program Files/R/R-3.5.1/library","0.9-36",NA,"3.5.1"
"109","lubridate","C:/Program Files/R/R-3.5.1/library","1.7.4",NA,"3.5.1"
"110","magrittr","C:/Program Files/R/R-3.5.1/library","1.5",NA,"3.5.1"
"111","mapproj","C:/Program Files/R/R-3.5.1/library","1.2.6",NA,"3.5.1"
"112","maps","C:/Program Files/R/R-3.5.1/library","3.3.0",NA,"3.5.1"
"113","maptools","C:/Program Files/R/R-3.5.1/library","0.9-4",NA,"3.5.1"
"114","markdown","C:/Program Files/R/R-3.5.1/library","0.9",NA,"3.5.2"
"115","MASS","C:/Program Files/R/R-3.5.1/library","7.3-51.1","recommended","3.5.2"
"116","Matrix","C:/Program Files/R/R-3.5.1/library","1.2-15","recommended","3.5.2"
"117","MatrixModels","C:/Program Files/R/R-3.5.1/library","0.4-1",NA,"3.5.1"
"118","matrixStats","C:/Program Files/R/R-3.5.1/library","0.54.0",NA,"3.5.1"
"119","mclust","C:/Program Files/R/R-3.5.1/library","5.4.2",NA,"3.5.1"
"120","memoise","C:/Program Files/R/R-3.5.1/library","1.1.0",NA,"3.5.1"
"121","methods","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"122","mgcv","C:/Program Files/R/R-3.5.1/library","1.8-26","recommended","3.5.2"
"123","mime","C:/Program Files/R/R-3.5.1/library","0.6",NA,"3.5.2"
"124","minqa","C:/Program Files/R/R-3.5.1/library","1.2.4",NA,"3.5.1"
"125","modelr","C:/Program Files/R/R-3.5.1/library","0.1.2",NA,"3.5.1"
"126","modeltools","C:/Program Files/R/R-3.5.1/library","0.2-22",NA,"3.5.1"
"127","munsell","C:/Program Files/R/R-3.5.1/library","0.5.0",NA,"3.5.1"
"128","mvtnorm","C:/Program Files/R/R-3.5.1/library","1.0-8",NA,"3.5.0"
"129","networkD3","C:/Program Files/R/R-3.5.1/library","0.4",NA,"3.5.1"
"130","nlme","C:/Program Files/R/R-3.5.1/library","3.1-137","recommended","3.5.1"
"131","nloptr","C:/Program Files/R/R-3.5.1/library","1.2.1",NA,"3.5.1"
"132","nnet","C:/Program Files/R/R-3.5.1/library","7.3-12","recommended","3.5.1"
"133","openssl","C:/Program Files/R/R-3.5.1/library","1.1",NA,"3.5.2"
"134","openxlsx","C:/Program Files/R/R-3.5.1/library","4.1.0",NA,"3.5.1"
"135","padr","C:/Program Files/R/R-3.5.1/library","0.4.1",NA,"3.5.1"
"136","pander","C:/Program Files/R/R-3.5.1/library","0.6.3",NA,"3.5.2"
"137","parallel","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"138","pbkrtest","C:/Program Files/R/R-3.5.1/library","0.4-7",NA,"3.5.1"
"139","pdftools","C:/Program Files/R/R-3.5.1/library","2.0",NA,"3.5.1"
"140","PerformanceAnalytics","C:/Program Files/R/R-3.5.1/library","1.5.2",NA,"3.5.1"
"141","pillar","C:/Program Files/R/R-3.5.1/library","1.3.1",NA,"3.5.2"
"142","pkgbuild","C:/Program Files/R/R-3.5.1/library","1.0.2",NA,"3.5.2"
"143","pkgconfig","C:/Program Files/R/R-3.5.1/library","2.0.2",NA,"3.5.1"
"144","pkgload","C:/Program Files/R/R-3.5.1/library","1.0.2",NA,"3.5.2"
"145","plogr","C:/Program Files/R/R-3.5.1/library","0.2.0",NA,"3.5.1"
"146","plotly","C:/Program Files/R/R-3.5.1/library","4.8.0",NA,"3.5.1"
"147","plyr","C:/Program Files/R/R-3.5.1/library","1.8.4",NA,"3.5.1"
"148","png","C:/Program Files/R/R-3.5.1/library","0.1-7",NA,"3.5.0"
"149","polynom","C:/Program Files/R/R-3.5.1/library","1.3-9",NA,"3.5.0"
"150","prabclus","C:/Program Files/R/R-3.5.1/library","2.2-6",NA,"3.5.1"
"151","praise","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"152","prettyunits","C:/Program Files/R/R-3.5.1/library","1.0.2",NA,"3.5.2"
"153","processx","C:/Program Files/R/R-3.5.1/library","3.2.1",NA,"3.5.2"
"154","progress","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.2"
"155","proj4","C:/Program Files/R/R-3.5.1/library","1.0-8",NA,"3.5.0"
"156","promises","C:/Program Files/R/R-3.5.1/library","1.0.1",NA,"3.5.1"
"157","proto","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"158","pryr","C:/Program Files/R/R-3.5.1/library","0.1.4",NA,"3.5.1"
"159","ps","C:/Program Files/R/R-3.5.1/library","1.3.0",NA,"3.5.2"
"160","purrr","C:/Program Files/R/R-3.5.1/library","0.2.5",NA,"3.5.1"
"161","quadprog","C:/Program Files/R/R-3.5.1/library","1.5-5",NA,"3.5.0"
"162","Quandl","C:/Program Files/R/R-3.5.1/library","2.9.1",NA,"3.5.1"
"163","quantmod","C:/Program Files/R/R-3.5.1/library","0.4-13",NA,"3.5.1"
"164","quantreg","C:/Program Files/R/R-3.5.1/library","5.38",NA,"3.5.2"
"165","R6","C:/Program Files/R/R-3.5.1/library","2.3.0",NA,"3.5.2"
"166","rappdirs","C:/Program Files/R/R-3.5.1/library","0.3.1",NA,"3.5.1"
"167","raster","C:/Program Files/R/R-3.5.1/library","2.8-4",NA,"3.5.1"
"168","RColorBrewer","C:/Program Files/R/R-3.5.1/library","1.1-2",NA,"3.5.0"
"169","Rcpp","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.2"
"170","RcppArmadillo","C:/Program Files/R/R-3.5.1/library","0.9.200.5.0",NA,"3.5.2"
"171","RcppEigen","C:/Program Files/R/R-3.5.1/library","0.3.3.5.0",NA,"3.5.1"
"172","readODS","C:/Program Files/R/R-3.5.1/library","1.6.7",NA,"3.5.2"
"173","readr","C:/Program Files/R/R-3.5.1/library","1.1.1",NA,"3.5.1"
"174","readxl","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.2"
"175","rematch","C:/Program Files/R/R-3.5.1/library","1.0.1",NA,"3.5.1"
"176","rematch2","C:/Program Files/R/R-3.5.1/library","2.0.1",NA,"3.5.1"
"177","remedy","C:/Program Files/R/R-3.5.1/library","0.1.0",NA,"3.5.1"
"178","remotes","C:/Program Files/R/R-3.5.1/library","2.0.2",NA,"3.5.2"
"179","reprex","C:/Program Files/R/R-3.5.1/library","0.2.1",NA,"3.5.2"
"180","repurrrsive","C:/Program Files/R/R-3.5.1/library","0.1.0",NA,"3.5.1"
"181","reshape2","C:/Program Files/R/R-3.5.1/library","1.4.3",NA,"3.5.1"
"182","rex","C:/Program Files/R/R-3.5.1/library","1.1.2",NA,"3.5.1"
"183","rgdal","C:/Program Files/R/R-3.5.1/library","1.3-6",NA,"3.5.1"
"184","rgeos","C:/Program Files/R/R-3.5.1/library","0.4-2",NA,"3.5.1"
"185","RgoogleMaps","C:/Program Files/R/R-3.5.1/library","1.4.3",NA,"3.5.1"
"186","rio","C:/Program Files/R/R-3.5.1/library","0.5.16",NA,"3.5.2"
"187","rjson","C:/Program Files/R/R-3.5.1/library","0.2.20",NA,"3.5.0"
"188","rlang","C:/Program Files/R/R-3.5.1/library","0.3.1",NA,"3.5.2"
"189","rmarkdown","C:/Program Files/R/R-3.5.1/library","1.11",NA,"3.5.2"
"190","rmatio","C:/Program Files/R/R-3.5.1/library","0.12.0",NA,"3.5.1"
"191","robustbase","C:/Program Files/R/R-3.5.1/library","0.93-3",NA,"3.5.1"
"192","roxygen2","C:/Program Files/R/R-3.5.1/library","6.1.1",NA,"3.5.2"
"193","rpart","C:/Program Files/R/R-3.5.1/library","4.1-13","recommended","3.5.1"
"194","rprojroot","C:/Program Files/R/R-3.5.1/library","1.3-2",NA,"3.5.1"
